Pedestrian_id,Pedestrian_Age,measuring_row,measuring_col,time,density,speed
23,25,1,100,4,-0.0,0
43,44,2,10,4,-0.0,0
1,23,0,40,3485,-0.0,1.6366612111292962
34,32,1,10,3485,-0.0,2.044989775051125
22,76,0,40,5813,-0.0,0.8960573476702508
13,41,2,10,6974,-0.0,1.483679525222552
4,44,0,10,9273,-0.0,1.753436068304873
18,57,0,40,9273,-0.0,1.1408083441981747
44,20,2,10,9273,-0.0,1.925192519251925
28,59,0,40,11579,-0.0,1.0139416983523448
14,69,1,100,12716,-0.0,1.1934598400763814
27,65,2,10,12716,-0.0,1.0645092612305727
38,66,0,40,13860,-0.0,0.9578544061302683
7,23,2,100,16170,-0.0,1.8185124568103292
30,60,1,100,18481,-0.0,1.3906271728549575
45,42,1,40,21913,-0.0,1.6388069485414618
35,25,1,100,24201,-0.0,1.7806267806267808
15,76,1,40,25338,-0.0,0.9956192751891676
40,35,1,40,27600,-0.0,1.6784155756965424
26,34,0,100,33182,-0.0,1.6860563142808969
49,20,2,100,34309,-0.0,1.8335166850018336
20,72,2,100,37699,-0.0,1.1189437171310284
34,32,1,40,37699,-0.0,1.7041581458759372
46,41,2,100,39935,-0.0,1.6485328058028355
4,44,0,40,43292,-0.0,1.6196954972465176
19,36,2,100,46638,-0.0,1.6733601070950468
29,34,2,100,48855,-0.0,1.6860563142808969
24,52,0,100,51078,-0.0,1.5496668216333487
31,64,2,100,53302,-0.0,1.321178491214163
33,39,0,100,53302,-0.0,1.6633399866932803
39,19,2,100,55520,-0.0,1.8155410312273057
17,40,2,100,62134,-0.0,1.6559032952475576
42,68,0,100,62134,-0.0,1.2223444566678892
6,77,0,100,65409,-0.0,0.948856627763545
36,56,2,100,65409,-0.0,1.4677821811243212
11,65,0,100,67613,-0.0,1.3010668748373666
1,23,0,100,70896,-0.0,1.8185124568103292
10,20,2,100,70896,-0.0,1.8335166850018336
22,76,0,100,73083,-0.0,0.9956192751891676
5,65,2,100,74171,-0.0,1.3010668748373666
18,57,0,100,76340,-0.0,1.4486455164421268
28,59,0,100,78499,-0.0,1.408252358822701
2,75,2,100,80663,-0.0,1.0335917312661498
38,66,0,100,80663,-0.0,1.277139208173691
21,35,2,100,84985,-0.0,1.6784155756965424
45,42,1,100,88223,-0.0,1.6388069485414618
15,76,1,100,91436,-0.0,0.9956192751891676
40,35,1,100,93573,-0.0,1.6784155756965424
37,79,2,100,96759,-0.0,0.8254911672445104
43,44,2,100,99943,-0.0,1.6196954972465176
34,32,1,100,103125,-0.0,1.7041581458759372
13,41,2,100,106297,-0.0,1.6485328058028355
4,44,0,100,108404,-0.0,1.6196954972465176
44,20,2,100,108404,-0.0,1.8335166850018336
